Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/1           count_connections [278]
                0.00    0.00       1/1           free_placement_structs [293]
                0.00    0.00       1/1           free_lookups_and_criticalities [290]
-----------------------------------------------
                0.00    0.00     138/869998      starting_t [58]
                0.32    2.15  869860/869998      try_place [3]
[4]     82.8    0.32    2.15  869998         try_swap [4]
                0.39    0.50  848146/848146      comp_delta_td_cost [5]
                0.46    0.00 12628718/12629702     get_non_updateable_bb [7]
                0.34    0.00  848146/848146      find_affected_nets [14]
                0.20    0.00 15636765/15637785     get_net_cost [18]
                0.10    0.00  386965/386965      update_td_cost [22]
                0.07    0.00 3008047/3008047     update_bb [24]
                0.01    0.03  869998/869998      find_to [26]
                0.03    0.00 1267391/3022684     my_irand [25]
                0.00    0.02  848146/848146      assess_swap [34]
                0.00    0.00       4/383841      my_malloc [73]
-----------------------------------------------
                0.39    0.50  848146/848146      try_swap [4]
[5]     29.8    0.39    0.50  848146         comp_delta_td_cost [5]
                0.50    0.00 25424969/25584958     comp_td_point_to_point_delay [6]
-----------------------------------------------
                0.00    0.00  159989/25584958     comp_td_costs [37]
                0.50    0.00 25424969/25584958     comp_delta_td_cost [5]
[6]     16.8    0.50    0.00 25584958         comp_td_point_to_point_delay [6]
-----------------------------------------------
                0.00    0.00     984/12629702     comp_bb_cost [64]
                0.46    0.00 12628718/12629702     try_swap [4]
[7]     15.4    0.46    0.00 12629702         get_non_updateable_bb [7]
-----------------------------------------------
                0.00    0.41       1/1           try_place [3]
[8]     13.8    0.00    0.41       1         alloc_lookups_and_criticalities [8]
                0.00    0.41       1/1           compute_delay_lookup_tables [9]
                0.00    0.00       1/1           alloc_and_load_timing_graph [258]
                0.00    0.00       1/1           alloc_net_delay [267]
                0.00    0.00       1/1           alloc_crit [264]
-----------------------------------------------
                0.00    0.41       1/1           alloc_lookups_and_criticalities [8]
[9]     13.8    0.00    0.41       1         compute_delay_lookup_tables [9]
                0.00    0.38       1/1           alloc_routing_structs [10]
                0.00    0.03       1/1           compute_delta_arrays [29]
                0.00    0.00       1/1           load_simplified_device [313]
                0.00    0.00       1/1           alloc_and_assign_internal_structures [249]
                0.00    0.00       1/1           setup_chan_width [321]
                0.00    0.00       1/1           get_longest_segment_length [307]
                0.00    0.00       1/1           alloc_delta_arrays [265]
                0.00    0.00       1/1           free_routing_structs [296]
                0.00    0.00       1/1           restore_original_device [319]
                0.00    0.00       1/1           free_and_reset_internal_structures [285]
-----------------------------------------------
                0.00    0.38       1/1           compute_delay_lookup_tables [9]
[10]    12.8    0.00    0.38       1         alloc_routing_structs [10]
                0.00    0.38       1/1           build_rr_graph [11]
                0.00    0.00       1/478         assign_locations [119]
                0.00    0.00       1/1           alloc_route_structs [270]
                0.00    0.00       1/2           free_rr_graph [213]
                0.00    0.00       1/1           alloc_and_load_rr_node_route_structs [256]
                0.00    0.00       1/1           alloc_timing_driven_route_structs [272]
                0.00    0.00       1/1           init_route_structs [311]
-----------------------------------------------
                0.00    0.38       1/1           alloc_routing_structs [10]
[11]    12.8    0.00    0.38       1         build_rr_graph [11]
                0.00    0.36       1/1           alloc_and_load_rr_graph [12]
                0.01    0.00       1/1           alloc_sblock_pattern_lookup [47]
                0.01    0.00       1/1           check_rr_graph [48]
                0.00    0.00     121/121         load_sblock_pattern_lookup [54]
                0.00    0.00       1/1           alloc_and_load_rr_node_indices [61]
